id,status,category,dateAdded,lastUpdated,numOffenses,URL,statsLastUpdated,numTimesTaken,percentAbove80,writer_id,title,description
11,archived,TV,4/5/2027,12/18/2023,2,http://rediff.com/donec/vitae/nisi.aspx?pede=semper&justo=porta&eu=volutpat&massa=quam&donec=pede&dapibus=lobortis&duis=ligula&at=sit&velit=amet&eu=eleifend&est=pede&congue=libero&elementum=quis&in=orci&hac=nullam&habitasse=molestie&platea=nibh&dictumst=in&morbi=lectus&vestibulum=pellentesque&velit=at&id=nulla&pretium=suspendisse&iaculis=potenti&diam=cras&erat=in&fermentum=purus&justo=eu&nec=magna&condimentum=vulputate&neque=luctus&sapien=cum&placerat=sociis&ante=natoque&nulla=penatibus&justo=et&aliquam=magnis&quis=dis&turpis=parturient&eget=montes&elit=nascetur&sodales=ridiculus&scelerisque=mus&mauris=vivamus&sit=vestibulum&amet=sagittis&eros=sapien&suspendisse=cum&accumsan=sociis&tortor=natoque&quis=penatibus&turpis=et&sed=magnis&ante=dis&vivamus=parturient&tortor=montes&duis=nascetur&mattis=ridiculus,3/13/2023,39,92,3,Happy Feet,cbrq-sgsamov-fkh
12,archived,Personality,7/2/2024,8/17/2027,0,http://unicef.org/volutpat/erat/quisque/erat/eros/viverra/eget.html?ut=pellentesque&ultrices=eget&vel=nunc&augue=donec&vestibulum=quis&ante=orci&ipsum=eget&primis=orci&in=vehicula&faucibus=condimentum&orci=curabitur&luctus=in&et=libero&ultrices=ut&posuere=massa&cubilia=volutpat&curae=convallis&donec=morbi&pharetra=odio&magna=odio&vestibulum=elementum&aliquet=eu&ultrices=interdum&erat=eu&tortor=tincidunt&sollicitudin=in&mi=leo&sit=maecenas&amet=pulvinar&lobortis=lobortis&sapien=est&sapien=phasellus&non=sit&mi=amet&integer=erat&ac=nulla&neque=tempus&duis=vivamus&bibendum=in&morbi=felis&non=eu&quam=sapien,6/24/2024,29,90,3,"Hucksters, The",nufb-fbrxujp-xuk
13,active,Personality,11/21/2024,7/11/2028,1,https://fema.gov/varius.jsp?vitae=dapibus&nisi=nulla&nam=suscipit&ultrices=ligula&libero=in&non=lacus&mattis=curabitur&pulvinar=at&nulla=ipsum&pede=ac&ullamcorper=tellus&augue=semper&a=interdum&suscipit=mauris&nulla=ullamcorper&elit=purus&ac=sit&nulla=amet&sed=nulla&vel=quisque&enim=arcu&sit=libero&amet=rutrum&nunc=ac&viverra=lobortis&dapibus=vel&nulla=dapibus,12/24/2027,32,91,3,Super Demetrios,qeal-yseomsc-zft
14,archived,Movies,8/5/2026,12/23/2023,2,http://auda.org.au/bibendum/morbi/non.json?est=posuere&congue=cubilia&elementum=curae&in=duis&hac=faucibus&habitasse=accumsan&platea=odio&dictumst=curabitur&morbi=convallis&vestibulum=duis&velit=consequat&id=dui&pretium=nec&iaculis=nisi&diam=volutpat&erat=eleifend&fermentum=donec&justo=ut&nec=dolor&condimentum=morbi&neque=vel&sapien=lectus&placerat=in&ante=quam&nulla=fringilla&justo=rhoncus&aliquam=mauris&quis=enim&turpis=leo&eget=rhoncus&elit=sed&sodales=vestibulum&scelerisque=sit&mauris=amet&sit=cursus&amet=id&eros=turpis&suspendisse=integer&accumsan=aliquet&tortor=massa&quis=id&turpis=lobortis&sed=convallis&ante=tortor&vivamus=risus&tortor=dapibus&duis=augue&mattis=vel&egestas=accumsan&metus=tellus&aenean=nisi&fermentum=eu&donec=orci&ut=mauris&mauris=lacinia&eget=sapien&massa=quis&tempor=libero&convallis=nullam&nulla=sit&neque=amet&libero=turpis,1/28/2024,28,89,3,Charlie Chan on Broadway,pezr-boqtgym-ufb
15,draft,TV,4/14/2025,9/29/2025,1,http://columbia.edu/eget.aspx?odio=rutrum&curabitur=rutrum&convallis=neque&duis=aenean&consequat=auctor&dui=gravida&nec=sem&nisi=praesent&volutpat=id&eleifend=massa&donec=id&ut=nisl&dolor=venenatis&morbi=lacinia&vel=aenean&lectus=sit&in=amet&quam=justo&fringilla=morbi&rhoncus=ut&mauris=odio&enim=cras&leo=mi&rhoncus=pede&sed=malesuada&vestibulum=in&sit=imperdiet&amet=et&cursus=commodo&id=vulputate&turpis=justo&integer=in&aliquet=blandit&massa=ultrices&id=enim&lobortis=lorem&convallis=ipsum&tortor=dolor&risus=sit&dapibus=amet&augue=consectetuer&vel=adipiscing&accumsan=elit&tellus=proin&nisi=interdum&eu=mauris&orci=non&mauris=ligula&lacinia=pellentesque&sapien=ultrices&quis=phasellus&libero=id&nullam=sapien&sit=in&amet=sapien&turpis=iaculis&elementum=congue&ligula=vivamus&vehicula=metus&consequat=arcu&morbi=adipiscing&a=molestie&ipsum=hendrerit&integer=at&a=vulputate&nibh=vitae&in=nisl&quis=aenean&justo=lectus&maecenas=pellentesque&rhoncus=eget&aliquam=nunc&lacus=donec&morbi=quis&quis=orci&tortor=eget&id=orci&nulla=vehicula&ultrices=condimentum&aliquet=curabitur&maecenas=in&leo=libero&odio=ut&condimentum=massa&id=volutpat&luctus=convallis&nec=morbi,8/12/2025,31,85,5,Super Troopers,mojk-covuxzl-prr
16,archived,TV,8/27/2026,1/20/2024,0,https://networkadvertising.org/erat/eros/viverra/eget/congue/eget/semper.html?luctus=rutrum&rutrum=nulla&nulla=nunc&tellus=purus&in=phasellus,7/6/2026,12,83,2,Terror Train,vbxo-twlirfi-zsp
17,archived,Personality,2/4/2023,10/23/2025,3,http://bandcamp.com/ultrices/enim/lorem/ipsum/dolor/sit/amet.jpg?erat=rutrum&vestibulum=rutrum&sed=neque&magna=aenean&at=auctor&nunc=gravida&commodo=sem&placerat=praesent&praesent=id&blandit=massa&nam=id&nulla=nisl&integer=venenatis&pede=lacinia&justo=aenean&lacinia=sit&eget=amet&tincidunt=justo&eget=morbi&tempus=ut&vel=odio&pede=cras&morbi=mi&porttitor=pede&lorem=malesuada&id=in&ligula=imperdiet&suspendisse=et&ornare=commodo&consequat=vulputate&lectus=justo&in=in&est=blandit&risus=ultrices,3/30/2023,50,92,3,At the Death House Door,ziud-vrsmmft-tub
18,active,Books,10/29/2027,10/21/2027,2,http://answers.com/accumsan/felis/ut/at/dolor.jsp?posuere=justo&cubilia=maecenas&curae=rhoncus&duis=aliquam&faucibus=lacus&accumsan=morbi&odio=quis&curabitur=tortor&convallis=id&duis=nulla&consequat=ultrices&dui=aliquet&nec=maecenas&nisi=leo&volutpat=odio&eleifend=condimentum&donec=id&ut=luctus&dolor=nec&morbi=molestie&vel=sed&lectus=justo&in=pellentesque&quam=viverra&fringilla=pede&rhoncus=ac&mauris=diam&enim=cras&leo=pellentesque&rhoncus=volutpat&sed=dui&vestibulum=maecenas&sit=tristique,12/22/2027,8,97,2,"Jane Austen Book Club, The",nusk-hemjivv-ilf
19,draft,TV,11/2/2026,5/15/2023,2,https://arstechnica.com/donec/odio.jsp?nulla=tincidunt&neque=lacus&libero=at&convallis=velit&eget=vivamus&eleifend=vel&luctus=nulla&ultricies=eget&eu=eros&nibh=elementum&quisque=pellentesque&id=quisque&justo=porta&sit=volutpat&amet=erat&sapien=quisque&dignissim=erat&vestibulum=eros&vestibulum=viverra&ante=eget&ipsum=congue&primis=eget&in=semper&faucibus=rutrum&orci=nulla&luctus=nunc&et=purus&ultrices=phasellus&posuere=in&cubilia=felis&curae=donec&nulla=semper&dapibus=sapien&dolor=a&vel=libero&est=nam&donec=dui&odio=proin&justo=leo&sollicitudin=odio&ut=porttitor&suscipit=id&a=consequat&feugiat=in&et=consequat&eros=ut&vestibulum=nulla&ac=sed&est=accumsan&lacinia=felis&nisi=ut&venenatis=at&tristique=dolor&fusce=quis&congue=odio&diam=consequat&id=varius&ornare=integer&imperdiet=ac&sapien=leo&urna=pellentesque&pretium=ultrices&nisl=mattis&ut=odio&volutpat=donec&sapien=vitae&arcu=nisi&sed=nam&augue=ultrices&aliquam=libero&erat=non&volutpat=mattis&in=pulvinar&congue=nulla&etiam=pede&justo=ullamcorper&etiam=augue&pretium=a&iaculis=suscipit&justo=nulla&in=elit&hac=ac&habitasse=nulla&platea=sed&dictumst=vel&etiam=enim&faucibus=sit&cursus=amet,8/23/2024,23,97,2,Cherry Crush,ebes-rtqylvz-ftq
20,active,TV,5/17/2024,2/9/2026,0,http://amazon.de/ut/erat/curabitur/gravida/nisi.xml?neque=risus&duis=praesent&bibendum=lectus&morbi=vestibulum&non=quam&quam=sapien&nec=varius&dui=ut&luctus=blandit&rutrum=non&nulla=interdum&tellus=in&in=ante&sagittis=vestibulum&dui=ante&vel=ipsum&nisl=primis&duis=in&ac=faucibus&nibh=orci&fusce=luctus&lacus=et&purus=ultrices&aliquet=posuere&at=cubilia&feugiat=curae&non=duis&pretium=faucibus&quis=accumsan&lectus=odio&suspendisse=curabitur&potenti=convallis&in=duis&eleifend=consequat&quam=dui&a=nec&odio=nisi&in=volutpat&hac=eleifend&habitasse=donec&platea=ut&dictumst=dolor&maecenas=morbi&ut=vel&massa=lectus&quis=in&augue=quam&luctus=fringilla&tincidunt=rhoncus&nulla=mauris&mollis=enim&molestie=leo&lorem=rhoncus&quisque=sed&ut=vestibulum&erat=sit&curabitur=amet&gravida=cursus&nisi=id&at=turpis&nibh=integer&in=aliquet&hac=massa&habitasse=id&platea=lobortis&dictumst=convallis&aliquam=tortor&augue=risus&quam=dapibus&sollicitudin=augue&vitae=vel&consectetuer=accumsan&eget=tellus&rutrum=nisi&at=eu&lorem=orci&integer=mauris&tincidunt=lacinia&ante=sapien&vel=quis&ipsum=libero&praesent=nullam&blandit=sit&lacinia=amet&erat=turpis&vestibulum=elementum&sed=ligula&magna=vehicula&at=consequat&nunc=morbi&commodo=a&placerat=ipsum&praesent=integer,2/8/2027,20,85,2,The First Men in the Moon,qpoc-ehxwior-avz
21,active,TV,3/17/2023,12/8/2023,3,http://amazon.co.uk/nullam/orci/pede/venenatis.xml?parturient=nonummy&montes=maecenas&nascetur=tincidunt&ridiculus=lacus&mus=at&etiam=velit&vel=vivamus&augue=vel&vestibulum=nulla&rutrum=eget&rutrum=eros&neque=elementum&aenean=pellentesque&auctor=quisque&gravida=porta&sem=volutpat&praesent=erat&id=quisque&massa=erat&id=eros&nisl=viverra&venenatis=eget&lacinia=congue&aenean=eget&sit=semper&amet=rutrum&justo=nulla&morbi=nunc&ut=purus&odio=phasellus&cras=in&mi=felis&pede=donec&malesuada=semper&in=sapien&imperdiet=a&et=libero&commodo=nam&vulputate=dui&justo=proin&in=leo&blandit=odio&ultrices=porttitor,11/20/2026,38,86,3,Who Wants to Kill Jessie? (Kdo chce zabít Jessii?),bopu-gxfykux-dom
22,archived,Books,6/4/2027,3/12/2026,2,http://goo.ne.jp/vitae/quam/suspendisse/potenti/nullam/porttitor.aspx?cubilia=tortor&curae=quis&mauris=turpis&viverra=sed&diam=ante&vitae=vivamus&quam=tortor&suspendisse=duis&potenti=mattis&nullam=egestas&porttitor=metus&lacus=aenean&at=fermentum&turpis=donec&donec=ut&posuere=mauris&metus=eget&vitae=massa&ipsum=tempor&aliquam=convallis&non=nulla&mauris=neque&morbi=libero&non=convallis&lectus=eget&aliquam=eleifend&sit=luctus&amet=ultricies&diam=eu&in=nibh&magna=quisque&bibendum=id&imperdiet=justo&nullam=sit&orci=amet&pede=sapien&venenatis=dignissim&non=vestibulum&sodales=vestibulum&sed=ante&tincidunt=ipsum&eu=primis&felis=in&fusce=faucibus&posuere=orci&felis=luctus&sed=et&lacus=ultrices&morbi=posuere&sem=cubilia&mauris=curae&laoreet=nulla&ut=dapibus&rhoncus=dolor&aliquet=vel&pulvinar=est&sed=donec&nisl=odio&nunc=justo&rhoncus=sollicitudin&dui=ut&vel=suscipit&sem=a&sed=feugiat&sagittis=et&nam=eros&congue=vestibulum&risus=ac&semper=est&porta=lacinia&volutpat=nisi&quam=venenatis&pede=tristique&lobortis=fusce&ligula=congue&sit=diam&amet=id&eleifend=ornare&pede=imperdiet&libero=sapien&quis=urna&orci=pretium&nullam=nisl&molestie=ut&nibh=volutpat&in=sapien&lectus=arcu&pellentesque=sed&at=augue&nulla=aliquam&suspendisse=erat&potenti=volutpat&cras=in&in=congue&purus=etiam&eu=justo&magna=etiam&vulputate=pretium&luctus=iaculis&cum=justo,9/26/2028,37,93,5,"Holiday, The",gxkw-rfjegdw-uue
23,draft,TV,3/10/2024,4/12/2024,2,http://ucla.edu/ac/consequat.xml?ut=quis&tellus=libero&nulla=nullam&ut=sit&erat=amet&id=turpis,3/26/2028,40,99,1,Jackass Number Two,vcyc-urxzavb-ihn
24,archived,TV,9/17/2023,4/22/2025,3,http://cocolog-nifty.com/donec/odio/justo/sollicitudin/ut.jpg?maecenas=sem&rhoncus=duis&aliquam=aliquam&lacus=convallis&morbi=nunc&quis=proin&tortor=at&id=turpis&nulla=a&ultrices=pede&aliquet=posuere&maecenas=nonummy&leo=integer&odio=non&condimentum=velit&id=donec&luctus=diam&nec=neque&molestie=vestibulum&sed=eget&justo=vulputate&pellentesque=ut&viverra=ultrices&pede=vel&ac=augue&diam=vestibulum&cras=ante&pellentesque=ipsum&volutpat=primis&dui=in&maecenas=faucibus&tristique=orci&est=luctus&et=et&tempus=ultrices&semper=posuere&est=cubilia&quam=curae&pharetra=donec&magna=pharetra&ac=magna&consequat=vestibulum,8/15/2024,23,92,4,Let's Scare Jessica to Death,vxaa-hfvrzxc-sxw
25,archived,Books,4/27/2028,6/21/2024,3,https://oaic.gov.au/mauris/sit/amet.js?turpis=tortor&elementum=quis&ligula=turpis&vehicula=sed&consequat=ante&morbi=vivamus&a=tortor&ipsum=duis&integer=mattis&a=egestas&nibh=metus&in=aenean&quis=fermentum&justo=donec&maecenas=ut,10/9/2025,25,90,5,Soapdish,vtvx-wfiahie-ckk
26,active,TV,1/23/2025,2/4/2023,1,http://pbs.org/sit/amet/justo/morbi.jsp?sapien=semper&a=porta&libero=volutpat&nam=quam&dui=pede&proin=lobortis&leo=ligula&odio=sit&porttitor=amet&id=eleifend&consequat=pede&in=libero&consequat=quis&ut=orci&nulla=nullam&sed=molestie&accumsan=nibh&felis=in&ut=lectus&at=pellentesque&dolor=at&quis=nulla&odio=suspendisse&consequat=potenti&varius=cras&integer=in&ac=purus&leo=eu&pellentesque=magna&ultrices=vulputate&mattis=luctus&odio=cum&donec=sociis&vitae=natoque&nisi=penatibus&nam=et,4/22/2028,34,99,2,My Life,krlt-dhyageh-gav
27,active,TV,10/27/2023,10/2/2024,0,https://globo.com/nascetur/ridiculus/mus/vivamus/vestibulum.jpg?odio=donec&justo=posuere&sollicitudin=metus&ut=vitae&suscipit=ipsum&a=aliquam&feugiat=non&et=mauris&eros=morbi&vestibulum=non&ac=lectus&est=aliquam&lacinia=sit&nisi=amet&venenatis=diam&tristique=in&fusce=magna&congue=bibendum&diam=imperdiet&id=nullam&ornare=orci&imperdiet=pede&sapien=venenatis&urna=non&pretium=sodales&nisl=sed&ut=tincidunt&volutpat=eu&sapien=felis&arcu=fusce&sed=posuere&augue=felis&aliquam=sed&erat=lacus&volutpat=morbi&in=sem&congue=mauris&etiam=laoreet&justo=ut&etiam=rhoncus&pretium=aliquet&iaculis=pulvinar&justo=sed&in=nisl&hac=nunc&habitasse=rhoncus&platea=dui&dictumst=vel&etiam=sem&faucibus=sed&cursus=sagittis&urna=nam,9/22/2027,30,91,4,Motivational Growth,taka-nhzxiww-gji
28,active,Personality,5/30/2027,8/25/2028,0,https://flavors.me/lacus/curabitur/at/ipsum.xml?nullam=cum&sit=sociis&amet=natoque&turpis=penatibus&elementum=et&ligula=magnis&vehicula=dis&consequat=parturient&morbi=montes&a=nascetur&ipsum=ridiculus&integer=mus&a=vivamus&nibh=vestibulum&in=sagittis&quis=sapien&justo=cum&maecenas=sociis&rhoncus=natoque&aliquam=penatibus&lacus=et&morbi=magnis&quis=dis&tortor=parturient&id=montes&nulla=nascetur&ultrices=ridiculus&aliquet=mus&maecenas=etiam&leo=vel&odio=augue&condimentum=vestibulum&id=rutrum&luctus=rutrum&nec=neque&molestie=aenean&sed=auctor&justo=gravida&pellentesque=sem&viverra=praesent&pede=id&ac=massa&diam=id&cras=nisl&pellentesque=venenatis&volutpat=lacinia&dui=aenean&maecenas=sit&tristique=amet&est=justo&et=morbi&tempus=ut&semper=odio&est=cras&quam=mi&pharetra=pede&magna=malesuada&ac=in&consequat=imperdiet&metus=et&sapien=commodo&ut=vulputate&nunc=justo&vestibulum=in&ante=blandit&ipsum=ultrices&primis=enim&in=lorem&faucibus=ipsum&orci=dolor&luctus=sit&et=amet&ultrices=consectetuer&posuere=adipiscing&cubilia=elit&curae=proin&mauris=interdum&viverra=mauris&diam=non&vitae=ligula&quam=pellentesque&suspendisse=ultrices&potenti=phasellus,6/23/2025,17,97,3,Errors of the Human Body ,dnri-efvvaul-pgv
29,active,Books,2/7/2025,5/26/2028,0,http://macromedia.com/vitae/ipsum/aliquam/non/mauris/morbi/non.xml?dui=quam&maecenas=nec&tristique=dui&est=luctus&et=rutrum&tempus=nulla,3/8/2027,18,89,1,Dancing Outlaw II: Jesco Goes to Hollywood,hras-rusauyp-qap
